Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;MNQ 03-26;Sim101;MNQ;Long;1;25394,00;25393,50;10/02/2026 15:19:20;10/02/2026 15:19:46;Entry;Exit;-1,00 $;-1,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;11,50 $;8,00 $;9,00 $;0;
2;MNQ 03-26;Sim101;MNQ;Long;2;25394,00;25392,00;10/02/2026 15:19:20;10/02/2026 15:22:17;Entry;Close;-8,00 $;-9,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;23,00 $;16,00 $;24,00 $;0;
3;MNQ 03-26;Sim101;MNQ;Long;2;25394,25;25392,00;10/02/2026 15:19:20;10/02/2026 15:22:17;Entry;Close;-9,00 $;-18,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;24,00 $;15,00 $;24,00 $;0;
4;MNQ 03-26;Sim101;MNQ;Short;1;25392,25;25393,25;10/02/2026 15:22:18;10/02/2026 15:22:19;Entry;Close;-2,00 $;-20,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;2,00 $;0,50 $;2,50 $;0;
5;MNQ 03-26;Sim101;MNQ;Short;4;25392,00;25393,25;10/02/2026 15:22:18;10/02/2026 15:22:19;Entry;Close;-10,00 $;-30,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;10,00 $;0,00 $;10,00 $;0;
6;MNQ 03-26;Sim101;MNQ;Short;1;25392,25;25393,50;10/02/2026 15:22:18;10/02/2026 15:22:19;Entry;Close;-2,50 $;-32,50 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;2,50 $;0,50 $;3,00 $;0;
7;MNQ 03-26;Sim101;MNQ;Short;4;25392,25;25393,50;10/02/2026 15:22:18;10/02/2026 15:22:19;Entry;Close;-10,00 $;-42,50 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;10,00 $;2,00 $;12,00 $;0;
8;MNQ 03-26;Sim101;MNQ;Short;1;25392,25;25393,50;10/02/2026 15:22:18;10/02/2026 15:22:19;Entry;Close;-2,50 $;-45,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;2,50 $;0,50 $;3,00 $;0;
9;MNQ 03-26;Sim101;MNQ;Short;4;25392,25;25393,50;10/02/2026 15:22:18;10/02/2026 15:22:19;Entry;Close;-10,00 $;-55,00 $;0,00 $;0,00 $;0,00 $;0,00 $;0,00 $;10,00 $;2,00 $;12,00 $;0;
10;MNQ 03-26;221889;;Short;1;25363,50;25363,75;10/02/2026 17:26:15;10/02/2026 17:26:19;;;-1,80 $;-56,80 $;0,18 $;0,38 $;0,70 $;0,00 $;0,04 $;0,50 $;0,50 $;2,30 $;0;
11;MNQ 03-26;221889;;Long;1;25365,25;25347,00;10/02/2026 17:26:25;10/02/2026 17:27:41;;;-37,80 $;-94,60 $;0,18 $;0,38 $;0,70 $;0,00 $;0,04 $;36,50 $;36,50 $;74,30 $;0;
